2026-02-11 02:05:07,582 [INFO] theta033_xy03_N301: progress: 8.17 %, estimated time: 7597.31 [sec]
2026-02-11 02:05:16,999 [INFO] theta033_xy03_N301: progress: 8.28 %, estimated time: 7591.35 [sec]
2026-02-11 02:05:25,799 [INFO] theta033_xy03_N301: progress: 8.39 %, estimated time: 7578.56 [sec]
2026-02-11 02:05:34,339 [INFO] theta033_xy03_N301: progress: 8.50 %, estimated time: 7563.07 [sec]
2026-02-11 02:05:43,337 [INFO] theta033_xy03_N301: progress: 8.61 %, estimated time: 7552.62 [sec]
2026-02-11 02:05:52,627 [INFO] theta033_xy03_N301: progress: 8.72 %, estimated time: 7545.26 [sec]
2026-02-11 02:06:01,341 [INFO] theta033_xy03_N301: progress: 8.83 %, estimated time: 7531.91 [sec]
2026-02-11 02:06:10,586 [INFO] theta033_xy03_N301: progress: 8.94 %, estimated time: 7524.07 [sec]
2026-02-11 02:06:19,550 [INFO] theta033_xy03_N301: progress: 9.05 %, estimated time: 7513.39 [sec]
2026-02-11 02:06:28,650 [INFO] theta033_xy03_N301: progress: 9.16 %, estimated time: 7504.09 [sec]
2026-02-11 02:06:38,198 [INFO] theta033_xy03_N301: progress: 9.27 %, estimated time: 7499.18 [sec]
2026-02-11 02:06:47,317 [INFO] theta033_xy03_N301: progress: 9.38 %, estimated time: 7490.02 [sec]
2026-02-11 02:06:56,102 [INFO] theta033_xy03_N301: progress: 9.49 %, estimated time: 7477.68 [sec]
2026-02-11 02:07:05,258 [INFO] theta033_xy03_N301: progress: 9.60 %, estimated time: 7468.90 [sec]
2026-02-11 02:07:14,236 [INFO] theta033_xy03_N301: progress: 9.71 %, estimated time: 7458.47 [sec]
2026-02-11 02:07:23,579 [INFO] theta033_xy03_N301: progress: 9.82 %, estimated time: 7451.42 [sec]
2026-02-11 02:07:32,618 [INFO] theta033_xy03_N301: progress: 9.93 %, estimated time: 7441.56 [sec]
2026-02-11 02:07:41,712 [INFO] theta033_xy03_N301: progress: 10.04 %, estimated time: 7432.21 [sec]
2026-02-11 02:07:50,152 [INFO] theta033_xy03_N301: progress: 10.15 %, estimated time: 7417.08 [sec]
